Date,Return1,Return2,rsi2,macd2,obv2,rsi1,macd1,obv1,Hedge Ratio,Half Life,Spread,ADF,Hedge Ratio Long,Half Life Long,Spread Long,ADF Long
2024-07-11 14:30:00+00:00,-0.0012660008820830626,-0.0013095140450998244,63.757586784798505,0.06104872994019672,21211104,75.03973856820494,0.42187280190847787,13580753,1.591556599557329,0.4355152564179843,-2.5872982467875083,0.987981381292008,1.5938062843754337,0.43490051918798245,-2.4623406712570475,0.4217650279340317
2024-07-11 15:30:00+00:00,-0.0022645963534912994,-0.004962847372191881,55.72724003618664,0.07629681987258152,21092626,70.59952665398232,0.4949989141625366,13548413,1.5926645566024988,0.4352122847755082,-2.1550582042199884,0.9990793770979232,1.5940117954327546,0.4348444487964183,-2.3265129141560323,0.42178442175345504
2024-07-11 16:30:00+00:00,-0.001542843458125276,-0.0032242969862812387,51.23103330516095,0.06982450333491386,20953209,67.66741250365018,0.533089331492306,13521706,1.5939208356904604,0.4348692639177938,-1.8583920828859315,0.9989689058617095,1.594266497595885,0.4347749774615438,-2.2131127015815952,0.422697498844649
2024-07-11 17:30:00+00:00,-0.008482746349937287,-0.007810907183215754,42.363102929294385,0.021678165715087516,20787711,54.36520679082799,0.48266910042333677,13459873,1.5950579184808327,0.4345592548890723,-1.0744805732515332,0.9403088578242269,1.5944836164017333,0.43471577470590045,-1.3271849830853093,0.19979154834977458
2024-07-11 18:30:00+00:00,-0.0016501682186929045,-0.0005918793470618411,41.77547662857374,-0.019480716108361662,20564710,52.22527628644055,0.4233065691111335,13305657,1.5962361334293058,0.4342384977032243,-0.8255641482420863,0.7592503644240787,1.5946215071558112,0.43467818378810913,-1.111961788760588,0.20340845022073495
2024-07-11 19:30:00+00:00,0.001833391084245406,0.0020703850040053595,44.66886528585496,-0.040337658350125594,20891432,54.37429213538651,0.38792823801861687,13455104,1.5973520496714675,0.43393513703037917,-0.8770526038322073,0.7586712995843223,1.5947115228497433,0.43465364777780874,-1.2800375258388557,0.16379274859303994
2024-07-12 13:30:00+00:00,-0.003624145732056938,-0.006744540234256746,38.05073168169627,-0.09251532146298302,20663012,49.626400970108165,0.3242790253934942,13355795,1.5987774431193762,0.43354826123112244,-0.6868119590978266,0.7395925815441325,1.5948485756431388,0.43461629595802015,-1.138115388184265,0.2669212292373222
2024-07-12 14:30:00+00:00,-0.0020702372202707764,-0.003650631722337927,35.04022249316962,-0.15188532993728643,20426960,47.10337551213411,0.25276732496935495,13278428,1.6003277585147537,0.43312826192757375,-0.5477244486477595,0.7315128580363423,1.5951129148629246,0.4345442721335565,-1.0251335155230645,0.3109193903151956
2024-07-12 15:30:00+00:00,-0.00046066657594234783,-0.004338415463292833,31.8300567424742,-0.21980338305823466,20169616,46.537123176489885,0.18987025270230617,13212180,1.6018726305320166,0.4327105459875022,-0.6407401562077171,0.4560410833595964,1.5955226506099274,0.43443267965827553,-1.1974176186302508,0.33513729061142883
2024-07-12 16:30:00+00:00,0.001013130304881038,0.0001499458293476863,32.061239956854095,-0.26971275987185095,20371726,48.01758659974171,0.14720313362992954,13261776,1.603728642647854,0.43220976549718343,-0.6988123356284481,0.5546287392489301,1.5959145632295626,0.4343259949688424,-1.3240404363632279,0.3777607135543012
